iter	Logloss
139	0.1627392976
140	0.1626727045
141	0.1626129167
142	0.1625628753
143	0.1625097853
144	0.1624580269
145	0.162400737
146	0.1623162235
147	0.1622314294
148	0.1621437107
149	0.162104424
150	0.1620356232
151	0.1619778232
152	0.1619159079
153	0.1618606353
154	0.1617927925
155	0.1617437468
156	0.1616910918
157	0.1616429824
158	0.1615930325
159	0.1615591724
160	0.1615079273
161	0.161491675
162	0.1614402429
163	0.1613822533
164	0.1610172115
165	0.1609595272
166	0.1609322747
167	0.1608874349
168	0.1608317835
169	0.1607691032
170	0.1607227393
171	0.1606106371
172	0.160539675
173	0.1604380975
174	0.1603995054
175	0.1603506055
176	0.1603027978
177	0.1602583927
178	0.1602216746
179	0.1601650062
180	0.1600905337
181	0.1600573655
182	0.1599764709
183	0.1599252097
184	0.1598863527
185	0.1596116175
186	0.1595544506
187	0.1594831122
188	0.159431898
189	0.1593893128
190	0.1593439071
191	0.1592676733
192	0.1592276849
193	0.1591809585
194	0.1591244572
195	0.1590624159
196	0.1589849857
197	0.1589276988
198	0.1588849576
199	0.1588207604
200	0.1587699254
201	0.158734598
202	0.1586821356
203	0.1586090276
204	0.1585775761
205	0.1585363607
206	0.1584719812
207	0.1584005195
208	0.1583532862
209	0.1583121773
210	0.1582381481
211	0.1581876073
212	0.1581379493
213	0.1580837147
214	0.1580485722
215	0.158001495
216	0.1579733644
217	0.1579335949
218	0.157927764
219	0.1578486498
220	0.157793885
221	0.1577705103
222	0.1577517225
223	0.1575983971
224	0.1575284416
225	0.1574813683
226	0.1574472771
227	0.1574137288
228	0.1573486965
229	0.1573055032
230	0.1572587035
231	0.1572018986
232	0.1571616914
233	0.1571033955
234	0.1570717452
235	0.1570134491
236	0.1569700051
237	0.1568904108
238	0.1568506038
239	0.1568109569
240	0.1567654659
241	0.1567331236
242	0.1566745746
243	0.1566178724
244	0.156583113
245	0.1565309645
246	0.156482578
247	0.1564435321
248	0.1564002941
249	0.1563689059
250	0.1563099967
251	0.1562781118
252	0.1562367348
253	0.1561830498
254	0.1561510975
255	0.1561037373
256	0.1560523495
257	0.1560122815
258	0.1559674464
259	0.1559248915
260	0.1558705875
261	0.1558286541
262	0.155797867
263	0.1557694698
264	0.1557202107
265	0.1556583697
266	0.1556175876
267	0.1555832178
268	0.1555570778
269	0.1555225778
270	0.1554898784
271	0.1554366937
272	0.1554057431
273	0.155354103
274	0.1553215988
275	0.1552340718
276	0.1551802108
277	0.1551513724
278	0.1551130758
279	0.1550786523
280	0.1550241862
281	0.1549870492
282	0.1549280198
283	0.1548923846
284	0.1548402937
285	0.1548035131
286	0.1547479269
287	0.1547093912
288	0.1546717172
289	0.1546416876
290	0.1545968616
291	0.1545580086
292	0.1544457008
293	0.1543981591
294	0.1542278809
295	0.154197626
296	0.1541635493
297	0.1541209716
298	0.1540778791
299	0.1540131617
300	0.1539759857
301	0.1539360421
302	0.1539020341
303	0.1538577012
304	0.153824783
305	0.1537791465
306	0.1537191655
307	0.1536829354
308	0.1536223585
309	0.1535710091
310	0.1535360151
311	0.1534919826
312	0.1534526069
313	0.1534195328
314	0.1533884449
315	0.1533261834
316	0.1532795233
317	0.1532566068
318	0.1532202554
319	0.1531779513
320	0.1531355492
321	0.153091277
322	0.1530437131
323	0.1530028993
324	0.1529768725
325	0.1529429205
326	0.1528913967
327	0.1528595281
328	0.1528257752
329	0.152771151
330	0.1527331655
331	0.1526959459
332	0.152632471
333	0.1525994123
334	0.1525568923
335	0.152528637
336	0.1524698321
337	0.1524313069
338	0.1524082376
339	0.1523861832
340	0.1523643843
341	0.152332006
342	0.1523060131
343	0.1522607569
344	0.15210961
345	0.1520801135
346	0.1520433834
347	0.1520020663
348	0.1519407616
349	0.151909171
350	0.1518673081
351	0.1518301071
352	0.1517791092
353	0.1516748123
354	0.1516506646
355	0.1515883359
356	0.1515547323
357	0.1515126479
358	0.1514871155
359	0.1514515107
360	0.1514097194
361	0.1513774508
362	0.1512947369
363	0.1512722081
364	0.1512371996
365	0.1512031309
366	0.1511715168
367	0.1511340413
368	0.1511031789
369	0.1510521387
370	0.1510142124
371	0.1509759739
372	0.150945755
373	0.1509124361
374	0.1508796745
375	0.1508406749
376	0.1508148564
377	0.1507798863
378	0.1507502847
379	0.1507232844
380	0.1506530203
381	0.1506148722
382	0.1505685541
383	0.1505237036
384	0.1505026597
385	0.1504771242
386	0.150451296
387	0.1504028114
388	0.1503732919
389	0.1503517046
390	0.1503132654
391	0.1502727991
392	0.150243627
393	0.1502113923
394	0.1501739316
395	0.150144857
396	0.1501162811
397	0.1500684323
398	0.1500492494
399	0.150024493
